,Season,Team,npxg_created_op,npxg_created_sp,npxg_allowed_op,npxg_allowed_sp,xt_created,xt_allowed,box_shots,box_shots_conceded,box_touches,def_action_height,field_tilt,avg_seq_len,comp_passes,ppda,opp_buildup,high_pressure_regains
0,2022/23,Arsenal,1.425796146455564,0.3634072896583299,0.7934111868472475,0.2445727559296708,2.420500929736842,1.4364670118421052,10.578947368421051,6.105263157894737,36.97368421052632,50.73067668966574,66.26432472868208,4.587631578947369,476.42105263157896,7.670789473684211,75.56657894736843,7.131578947368421
1,2022/23,Aston Villa,0.9652712949012456,0.2527457309984847,0.9635387246349923,0.3141277465283086,1.677872990526316,1.831530068947368,7.105263157894737,7.578947368421052,21.07894736842105,45.062524753884446,48.03402196351902,3.668157894736842,361.578947368421,10.67921052631579,80.97578947368422,4.473684210526316
2,2022/23,Brentford,0.8691027100021774,0.4077890004358581,0.9649341573586336,0.3032652178426852,1.7388656905405404,2.026006335135135,7.567567567567567,8.18918918918919,22.75675675675676,46.62654296050865,43.64410260422151,2.977027027027027,297.1621621621622,9.976756756756757,79.0208108108108,4.513513513513513
3,2022/23,Bournemouth,0.7286533913330028,0.2710154420255046,1.134711273406681,0.3962496694079355,1.573946530789473,2.4795827342105263,6.815789473684211,10.289473684210526,19.73684210526316,42.68143192966278,35.155050918791886,3.103947368421052,306.44736842105266,14.33631578947368,84.42131578947368,3.8684210526315783
4,2022/23,Brighton,1.4642047960507245,0.3515727806248163,0.8404049142018745,0.2320380634873321,2.36477587,1.4667697763157896,10.342105263157896,7.131578947368421,31.157894736842103,48.92291133526582,63.12555174289728,4.576315789473683,500.60526315789474,7.974473684210525,77.33315789473684,5.921052631578948
5,2022/23,Chelsea,1.0245060493287288,0.2139934817525117,0.8837531381531766,0.3473201937679397,2.1893914447368417,1.6596945686842106,8.236842105263158,7.421052631578948,26.68421052631579,46.75088506584566,56.504685440960536,4.629736842105265,494.2631578947368,8.09842105263158,78.79526315789472,5.7631578947368425
6,2022/23,Crystal Palace,0.6541939394450501,0.3123368860075348,0.8609344147537884,0.3739046693632477,1.6927327099999996,2.079475484736842,6.973684210526316,8.421052631578947,21.73684210526316,45.39568850768679,45.17981287159831,3.3552631578947363,350.55263157894734,11.126315789473685,82.26657894736842,4.5
7,2022/23,Everton,0.7831675494579893,0.4100304237615905,1.19248279184103,0.2988916066426195,1.6442098876315785,2.167799994736842,7.078947368421052,9.921052631578949,20.210526315789476,43.83932004457054,42.392086836516654,3.1813157894736848,297.55263157894734,12.477894736842105,81.5784210526316,6.131578947368421
8,2022/23,Fulham,0.7573767584184871,0.268422774198514,1.2975856130452532,0.3841533422788703,1.6742507734210526,1.8326543384210527,6.894736842105263,8.631578947368421,20.26315789473684,46.39665030064084,50.46286667420973,3.5536842105263164,355.55263157894734,11.335526315789474,80.32210526315788,4.315789473684211
9,2022/23,Liverpool,1.452826370534144,0.4307657308312819,1.0125013099689233,0.2941033828415368,2.519825686052632,1.5463944960526317,10.86842105263158,6.815789473684211,34.55263157894737,49.54876583862144,62.72041529063684,4.457631578947368,514.078947368421,8.22421052631579,74.01736842105262,6.289473684210527
