,Team,npxg_created_op,npxg_created_sp,npxg_allowed_op,npxg_allowed_sp,xt_created,xt_allowed,box_shots,box_shots_conceded,box_touches,def_action_height,field_tilt,avg_seq_len,comp_passes,ppda,opp_buildup,high_pressure_regains
0,Arsenal,1.3179313513849462,0.40121014855269876,0.5763619643236909,0.1664434749899166,2.6611844775,1.1487106350000003,10.892857142857142,4.821428571428571,38.714285714285715,52.96678029803609,0.7385403425819027,5.112142857142858,505.0,7.740714285714284,0.7667571428571426,7.178571428571429
1,Aston Villa,1.456147469856121,0.3177986120529197,1.0603732190750264,0.4865571894786424,2.2475669007407406,1.716648582222222,10.148148148148149,7.814814814814815,30.0,46.61744084873877,0.5517677362761048,4.241851851851852,429.51851851851853,10.974444444444442,0.8127962962962962,5.2592592592592595
2,Brentford,1.1347285893100958,0.4072110200157532,1.2734055782739933,0.22820813617167565,1.9574102376923077,2.373995864230769,9.0,9.076923076923077,25.73076923076923,44.15577065992766,0.3790933576421933,3.2530769230769234,325.5769230769231,9.721923076923078,0.7937961538461538,5.038461538461538
3,Bournemouth,1.1555825376084872,0.3963708000124565,1.2268164030143194,0.3371055810047047,2.0334005914285713,2.287275698214286,9.357142857142858,9.571428571428571,28.75,48.02205359314578,0.4548967173373374,3.0164285714285723,314.39285714285717,9.459285714285713,0.7992392857142858,6.285714285714286
4,Brighton,1.3018194922694453,0.2895034532304163,0.996235442382318,0.20768416131398193,2.488353712592593,1.6779308248148155,9.962962962962964,7.518518518518518,32.148148148148145,48.67082851334003,0.6045029009996891,5.658148148148149,599.6296296296297,7.9337037037037055,0.7875296296296297,6.185185185185185
5,Chelsea,1.3497944736480714,0.2190633288025856,1.0567405152320861,0.3076365861296654,2.2158796071999998,1.9352488544,8.08,8.6,29.96,46.95562807602937,0.55058578673292,4.801200000000001,502.4,8.9088,0.7857959999999998,6.52
6,Crystal Palace,0.8168400911683286,0.3022822282380528,1.1064691692590714,0.3673259977044331,1.7306685900000003,2.3262726585185183,7.444444444444445,8.62962962962963,21.37037037037037,46.717959537808696,0.4036005594108624,3.238888888888889,324.14814814814815,12.304814814814817,0.8326407407407408,4.185185185185185
7,Everton,1.0165668249662434,0.6578978712537459,0.9531274781163249,0.3753801932824509,1.926813689642857,2.1349508803571426,9.071428571428571,9.0,22.428571428571427,46.17626672155085,0.4577237655320602,2.8435714285714275,292.9642857142857,12.792499999999999,0.8271750000000001,7.142857142857143
8,Fulham,0.9927069379815033,0.35853472451812457,1.1889576688408852,0.39561406962041346,1.946984318928571,2.1012508782142856,7.821428571428571,9.035714285714286,22.0,44.25246980308,0.5104248427315582,3.988571428571427,419.7857142857143,12.395,0.8289178571428574,4.5
9,Liverpool,1.61918541431427,0.4940782655775547,0.9525392642617225,0.31549870774149896,2.6754425923999996,1.5415424627999996,12.2,6.64,36.76,50.33786035728636,0.6327783664328214,4.523599999999999,518.24,6.7524,0.7356039999999999,6.96
